Construction,Area_in_Sqft,Price,Owner_info,Locality,BHK,Price_per_sqft
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Ready to move,1100, 22 L,OWNER,Shamirpet,2,"2,000 / sq ft"
Ready to move,750, 40 L,OWNER,LB Nagar,2,"5,333 / sq ft"
Ready to move,1040, 29.5 L,OWNER,Pragathi Nagar Kukatpally,2,"2,836 / sq ft"
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Under Construction,1230, 43.05 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1150, 38.5 L,OWNER,Aminpur,2,"3,347 / sq ft"
Under Construction,1590, 56.65 L,OWNER,Chandanagar,3,"3,562 / sq ft"
Under Construction,1605, 56.17 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1595, 55.82 L,OWNER,Chandanagar Vill,3,"3,500 / sq ft"
Under Construction,1340, 46.9 L,OWNER,Chandanagar Vill,2,"3,500 / sq ft"
Under Construction,1025, 35.87 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1060, 37.1 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1230, 43.05 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1100, 38.5 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1530, 53.55 L,OWNER,Miyapur,3,"3,500 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Under Construction,2600, 1.43 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,1450, 27 L,OWNER,Kothur,Residential Plot,"1,862 / sq ft"
Ready to move,2800, 2.5 Cr,OWNER,Habsiguda,5,"8,928 / sq ft"
Ready to move,1015, 55 L,OWNER,Ramachandra Puram,2,"5,418 / sq ft"
Ready to move,1450, 66 L,OWNER,Nagaram Hyderabad South,3,"4,551 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
Ready to move,1550, 72 L,OWNER,Godumakunta,2,"4,645 / sq ft"
Ready to move,1126, 80 L,OWNER,Kukatpally,2,"7,104 / sq ft"
Under Construction,1020, 37 L,OWNER,Chandanagar,2,"3,627 / sq ft"
Resale,2925, 80 L,OWNER,Shamirpet,Residential Plot,"2,735 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,3285, 45 L,OWNER,Gollur,Residential Plot,"1,369 / sq ft"
Resale,2160, 20 L,OWNER,Kothur,Residential Plot,925 / sq ft
Ready to move,1515, 86 L,OWNER,Kondapur,3,"5,676 / sq ft"
Under Construction,1125, 47.5 L,OWNER,Yapral,2,"4,222 / sq ft"
Under Construction,1654, 77.98 L,OWNER,Hayathnagar,3,"4,715 / sq ft"
Ready to move,1700, 92.5 L,OWNER,Kompally,3,"5,441 / sq ft"
Ready to move,755, 40 L,OWNER,LB Nagar,2,"5,298 / sq ft"
Under Construction,1170, 35 L,OWNER,Kollur,2,"2,991 / sq ft"
Ready to move,755, 40 L,OWNER,LB Nagar,2,"5,298 / sq ft"
Ready to move,755, 40 L,OWNER,LB Nagar,2,"5,298 / sq ft"
Under Construction,1170, 35 L,OWNER,Kollur,2,"2,991 / sq ft"
Ready to move,755, 40 L,OWNER,LB Nagar,2,"5,298 / sq ft"
Ready to move,4735, 3.8 Cr,OWNER,Mehdipatnam,10,"8,025 / sq ft"
Ready to move,1250, 57 L,OWNER,Nadergul,2,"4,560 / sq ft"
Ready to move,1250, 57 L,OWNER,Nadergul,2,"4,560 / sq ft"
Ready to move,1250, 57 L,OWNER,Nadergul,2,"4,560 / sq ft"
Resale,1040, 36.5 L,OWNER,Chevella,Residential Plot,"3,509 / sq ft"
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,1040, 36.5 L,OWNER,Chevella,Residential Plot,"3,509 / sq ft"
Resale,1040, 36.5 L,OWNER,Chevella,Residential Plot,"3,509 / sq ft"
Ready to move,1592, 1.09 Cr,AGENT,Kukatpally,3,"6,900 / sq ft"
Under Construction,1426, 94.11 L,AGENT,Kukatpally,2,"6,600 / sq ft"
Under Construction,1150, 39.74 L,OWNER,Pragathi Nagar Kukatpally,2,"3,456 / sq ft"
Under Construction,1200, 41.47 L,OWNER,Pragathi Nagar Kukatpally,2,"3,456 / sq ft"
Ready to move,1250, 57 L,OWNER,Nadergul,2,"4,560 / sq ft"
Ready to move,1250, 57 L,OWNER,Nadergul,2,"4,560 / sq ft"
Resale,2700, 15 L,OWNER,Bhuvanagiri,Residential Plot,555 / sq ft
Ready to move,1142, 36 L,OWNER,Nagaram,2,"3,152 / sq ft"
Ready to move,2160, 76.89 L,OWNER,Patancheru,4,"3,560 / sq ft"
Under Construction,2700, 1.16 Cr,OWNER,Bachupally,3,"4,332 / sq ft"
Under Construction,1585, 42.75 L,OWNER,Kompally,3,"2,697 / sq ft"
Under Construction,1585, 42.75 L,OWNER,Kompally,3,"2,697 / sq ft"
Resale,2700, 36 L,OWNER,Bibinagar,Residential Plot,"1,333 / sq ft"
Resale,2700, 36 L,OWNER,Bibinagar,Residential Plot,"1,333 / sq ft"
Resale,2700, 36 L,OWNER,Bibinagar,Residential Plot,"1,333 / sq ft"
Resale,2700, 36 L,OWNER,Bibinagar,Residential Plot,"1,333 / sq ft"
Resale,1800, 34 L,OWNER,Ibrahimpatnam,Residential Plot,"1,888 / sq ft"
Resale,1800, 34 L,OWNER,Ibrahimpatnam,Residential Plot,"1,888 / sq ft"
Resale,1800, 34 L,OWNER,Ibrahimpatnam,Residential Plot,"1,888 / sq ft"
Resale,1800, 34 L,OWNER,Ibrahimpatnam,Residential Plot,"1,888 / sq ft"
Resale,1800, 34 L,OWNER,Ibrahimpatnam,Residential Plot,"1,888 / sq ft"
Under Construction,819, 31.94 L,AGENT,Nizampet,2,"3,900 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Under Construction,2230, 1.65 Cr,OWNER,Kollur,3,"7,399 / sq ft"
Ready to move,2500, 1 Cr,OWNER,Balapur,7,"4,000 / sq ft"
Resale,1800, 24 L,OWNER,Yacharam,Residential Plot,"1,333 / sq ft"
Resale,1800, 24 L,OWNER,Yacharam,Residential Plot,"1,333 / sq ft"
Resale,1800, 24 L,OWNER,Yacharam,Residential Plot,"1,333 / sq ft"
Ready to move,1360, 66 L,OWNER,Rampally,2,"4,852 / sq ft"
Ready to move,1020, 44 L,OWNER,Miyapur,2,"4,313 / sq ft"
Under Construction,1580, 70 L,OWNER,Neknampur,3,"4,430 / sq ft"
Ready to move,1460, 70 L,OWNER,Bachupally,3,"4,794 / sq ft"
Ready to move,1460, 70 L,OWNER,Bachupally,3,"4,794 / sq ft"
Ready to move,1170, 45 L,OWNER,Nizampet,2,"3,846 / sq ft"
Ready to move,1170, 45 L,OWNER,Nizampet,2,"3,846 / sq ft"
Ready to move,1156, 82 L,OWNER,Gachibowli,2,"7,093 / sq ft"
Ready to move,2400, 1.3 Cr,OWNER,AS Rao Nagar,6,"5,416 / sq ft"
Ready to move,1170, 45 L,OWNER,Nizampet,2,"3,846 / sq ft"
Ready to move,1170, 45 L,OWNER,Nizampet,2,"3,846 / sq ft"
Under Construction,1615, 48.45 L,AGENT,Balanagar,3,"3,000 / sq ft"
Under Construction,2120, 1.14 Cr,AGENT,Kokapet,3,Price
Under Construction,1200, 42 L,AGENT,Madhapur,3,"3,500 / sq ft"
Under Construction,629, 12.5 L,AGENT,Tukkuguda,1,"1,987 / sq ft"
Under Construction,1300, 29 L,AGENT,Shamirpet,3,"2,230 / sq ft"
Under Construction,980, 21 L,AGENT,Shamirpet,2,"2,142 / sq ft"
Ready to move,3431, 2.8 Cr,AGENT,Narsingi,4,"8,160 / sq ft"
Under Construction,1600, 67.2 L,AGENT,Manchirevula,3,"4,200 / sq ft"
Under Construction,1700, 71.4 L,AGENT,Manchirevula,3,"4,200 / sq ft"
Under Construction,2000, 84 L,AGENT,Manchirevula,3,"4,200 / sq ft"
Under Construction,2200, 92.4 L,AGENT,Hitech City,3,"4,200 / sq ft"
Under Construction,3013, 1.26 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,1641, 68.92 L,AGENT,Nanakramguda,2,"4,200 / sq ft"
Under Construction,1800, 81 L,AGENT,Hitech City,3,"4,500 / sq ft"
Under Construction,2201, 92.44 L,AGENT,Nanakramguda,3,"4,200 / sq ft"
Under Construction,2603, 1.09 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,2608, 1.09 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,2803, 1.17 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,2804, 1.17 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,3015, 1.26 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,1600, 67.2 L,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,2400, 1.08 Cr,AGENT,Hitech City,3,"4,500 / sq ft"
Under Construction,4000, 1.68 Cr,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,1300, 54.6 L,AGENT,Hitech City,2,"4,200 / sq ft"
Under Construction,1600, 67.2 L,AGENT,Nanakramguda,3,"4,200 / sq ft"
Under Construction,1360, 57.12 L,AGENT,Nanakramguda,2,"4,200 / sq ft"
Under Construction,1360, 57.12 L,AGENT,Hitech City,2,"4,200 / sq ft"
Under Construction,2800, 1.17 Cr,AGENT,Hitech City,3,"4,200 / sq ft"
Under Construction,2000, 84 L,AGENT,Hitech City,3,"4,200 / sq ft"
Under Construction,1860, 78.12 L,AGENT,Nanakramguda,3,"4,200 / sq ft"
Under Construction,2076, 1.14 Cr,AGENT,Bachupally,3,"5,500 / sq ft"
Under Construction,2000, 84 L,AGENT,Kokapet,3,"4,200 / sq ft"
Under Construction,2601, 1.56 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,2400, 1.43 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,2201, 1.32 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,4001, 2.4 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,3000, 1.79 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,4000, 2.39 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,1600, 95.98 L,AGENT,Narsingi,3,"5,999 / sq ft"
Under Construction,1800, 1.07 Cr,AGENT,Manchirevula,3,"5,999 / sq ft"
Under Construction,2000, 1.19 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,2400, 1.43 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,2400, 1.43 Cr,AGENT,Manchirevula,3,"5,999 / sq ft"
Under Construction,1300, 77.98 L,AGENT,Manchirevula,2,"5,999 / sq ft"
Under Construction,4000, 2.39 Cr,AGENT,Nanakramguda,4,"5,999 / sq ft"
Under Construction,1300, 77.98 L,AGENT,Nanakramguda,2,"5,999 / sq ft"
Under Construction,1800, 1.07 Cr,AGENT,Nanakramguda,3,"5,999 / sq ft"
Under Construction,3000, 1.79 Cr,AGENT,Kokapet,4,"5,999 / sq ft"
Under Construction,1345, 80.68 L,AGENT,Kokapet,2,"5,999 / sq ft"
Ready to move,1129, 67.72 L,AGENT,Mokila,2,"5,999 / sq ft"
Under Construction,1000, 59.99 L,AGENT,Taramatipet,2,"5,999 / sq ft"
Under Construction,2400, 1.43 Cr,AGENT,Hitech City,3,"5,999 / sq ft"
Under Construction,1800, 1.07 Cr,AGENT,Hitech City,3,"5,999 / sq ft"
Under Construction,2800, 1.67 Cr,AGENT,Kokapet,3,"5,999 / sq ft"
Under Construction,3000, 1.79 Cr,AGENT,Kokapet,3,"5,999 / sq ft"
Under Construction,2600, 1.55 Cr,AGENT,Kokapet,3,"5,999 / sq ft"
Under Construction,1000, 59.99 L,AGENT,Taramatipet,2,"5,999 / sq ft"
Under Construction,1300, 77.98 L,AGENT,Kokapet,2,"5,999 / sq ft"
Under Construction,2000, 1.19 Cr,AGENT,Manchirevula,3,"5,999 / sq ft"
Under Construction,3000, 1.79 Cr,AGENT,Hitech City,4,"5,999 / sq ft"
Under Construction,3900, 2.33 Cr,AGENT,Manchirevula,4,"5,999 / sq ft"
Ready to move,2700, 2.6 Cr,AGENT,Tellapur,4,"9,629 / sq ft"
Under Construction,1300, 77.98 L,AGENT,Hitech City,2,"5,999 / sq ft"
Ready to move,3501, 3.24 Cr,OWNER,Bowenpally,7,"9,254 / sq ft"
Ready to move,3400, 1.8 Cr,OWNER,Old Bowenpally,8,"5,294 / sq ft"
Under Construction,1610, 64.4 L,AGENT,Alwal,3,"4,000 / sq ft"
Ready to move,1215, 74 L,OWNER,Miyapur,2,"6,090 / sq ft"
Ready to move,1525, 92 L,OWNER,Kondapur,3,"6,032 / sq ft"
Under Construction,1325, 33.12 L,AGENT,Hakimpet Hyderabad Karimnagar Highway,2,"2,500 / sq ft"
Resale,2700, 35 L,OWNER,Ghatkesar,Residential Plot,"1,296 / sq ft"
Ready to move,1080, 46.44 L,OWNER,Miyapur,2,"4,300 / sq ft"
Under Construction,1900, 1.5 Cr,OWNER,Bhanur,3,"7,894 / sq ft"
Ready to move,1620, 78 L,OWNER,Dammaiguda,2,"4,814 / sq ft"
Ready to move,2030, 1.45 Cr,OWNER,Ramachandra Puram,3,"7,142 / sq ft"
Ready to move,900, 49 L,OWNER,Nizampet,2,"5,444 / sq ft"
Ready to move,1500, 82 L,OWNER,Bandlaguda Jagir,3,"5,466 / sq ft"
Under Construction,1780, 1.15 Cr,OWNER,Madhapur,3,"6,500 / sq ft"
Under Construction,3237, 1.78 Cr,OWNER,Mokila,3,"5,498 / sq ft"
Ready to move,3240, 4.6 Cr,OWNER,Kukatpally,4,"14,197 / sq ft"
Resale,1800, 56 L,OWNER,Patancheru,Residential Plot,"3,111 / sq ft"
Ready to move,1800, 1.4 Cr,OWNER,Alwal,2,"7,777 / sq ft"
Under Construction,1350, 78.5 L,AGENT,Kukatpally,3,"5,814 / sq ft"
Under Construction,1350, 78 L,AGENT,Kukatpally,3,"5,777 / sq ft"
Resale,200, 86 L,AGENT,Narapally,Residential Plot,"43,000 / sq ft"
Resale,220, 99 L,AGENT,Narapally,Residential Plot,"45,000 / sq ft"
Resale,1800, 29.99 L,AGENT,Bhuvanagiri,Residential Plot,"1,666 / sq ft"
New,1800, 30 L,AGENT,Bhuvanagiri,Residential Plot,"1,666 / sq ft"
Resale,2925, 43.87 L,AGENT,Ghatkesar,Residential Plot,"1,499 / sq ft"
Under Construction,1170, 37 L,OWNER,Kollur,2,"3,162 / sq ft"
Under Construction,1100, 24.18 L,OWNER,Shamirpet,2,"2,199 / sq ft"
Under Construction,1833, 1.05 Cr,OWNER,Hastinapuram,3,"5,728 / sq ft"
Ready to move,650, 24 L,OWNER,Maruthi Nagar,1,"3,692 / sq ft"
Ready to move,1928, 1.6 Cr,OWNER,Narayanguda,3,"8,298 / sq ft"
Ready to move,1800, 2 Cr,OWNER,Malakpet,3,"11,111 / sq ft"
Ready to move,1614, 75 L,OWNER,Sainikpuri,3,"4,646 / sq ft"
Under Construction,2240, 1.23 Cr,OWNER,Narsingi,3,"5,491 / sq ft"
Ready to move,3200, 75 L,OWNER,Chinna Thokatta,3,"2,343 / sq ft"
Ready to move,1450, 95 L,OWNER,Madhapur,3,"6,551 / sq ft"
Ready to move,1650, 75 L,OWNER,Nanakramguda,3,"4,545 / sq ft"
Ready to move,1230, 75 L,OWNER,Attapur,3,"6,097 / sq ft"
Ready to move,1635, 1.02 Cr,OWNER,Attapur,3,"6,244 / sq ft"
Ready to move,1425, 1.4 Cr,OWNER,AS Rao Nagar,4,"9,824 / sq ft"
Under Construction,1670, 54 L,OWNER,Kothapet,3,"3,233 / sq ft"
Under Construction,1080, 24.84 L,OWNER,Medchal,2,"2,300 / sq ft"
Resale,1500, 21.15 L,OWNER,Bhuvanagiri,Residential Plot,"1,410 / sq ft"
Ready to move,1355, 58 L,OWNER,Bowenpally,2,"4,280 / sq ft"
Ready to move,2200, 1.4 Cr,OWNER,Quthbullapur,4,"6,363 / sq ft"
Under Construction,3000, 1.25 Cr,OWNER,Bolarum,2,"4,166 / sq ft"
Under Construction,3000, 1.25 Cr,OWNER,Mallampet,5,"4,166 / sq ft"
Ready to move,1040, 67 L,OWNER,Nallagandla Gachibowli,2,"6,442 / sq ft"
Resale,2000, 88 L,OWNER,Cherlapalli,Residential Plot,"4,400 / sq ft"
Resale,1485, 19.46 L,OWNER,Toopra Khurd,Residential Plot,"1,311 / sq ft"
Ready to move,1000, 25 L,OWNER,Gajularamaram,2,"2,500 / sq ft"
Ready to move,1000, 25 L,OWNER,Gajularamaram,2,"2,500 / sq ft"
Ready to move,1400, 55 L,OWNER,Pragathi Nagar Kukatpally,3,"3,928 / sq ft"
Ready to move,1255, 67 L,OWNER,Chanakyapuri,2,"5,338 / sq ft"
Ready to move,5500, 8 Cr,OWNER,Gandipet,4,"14,545 / sq ft"
Ready to move,755, 38 L,OWNER,LB Nagar,2,"5,033 / sq ft"
Ready to move,1956, 1.17 Cr,OWNER,Kukatpally,3,"5,981 / sq ft"
Resale,15120, 3.78 Cr,OWNER,Bonthapalle,Residential Plot,"2,500 / sq ft"
Resale,9009, 46 L,OWNER,Mallapur,Residential Plot,510 / sq ft
Under Construction,1500, 95 L,OWNER,Hafeezpet,3,"6,333 / sq ft"
Ready to move,1805, 1.1 Cr,OWNER,Toli Chowki,4,"6,094 / sq ft"
Ready to move,1100, 52 L,OWNER,Pragathi Nagar Kukatpally,2,"4,727 / sq ft"
Resale,1800, 24 L,OWNER,Ramdas Pally,Residential Plot,"1,333 / sq ft"
Under Construction,1235, 61.75 L,OWNER,Suchitra,2,"5,000 / sq ft"
Ready to move,2300, 1.38 Cr,OWNER,Sainikpuri,3,"6,000 / sq ft"
Under Construction,1460, 43.8 L,OWNER,Patancheru,3,"3,000 / sq ft"
Under Construction,1555, 77.75 L,OWNER,Suchitra,3,"5,000 / sq ft"
Ready to move,862, 36 L,OWNER,Kukatpally,2,"4,176 / sq ft"
Ready to move,1060, 74 L,OWNER,Himayat Nagar,4,"6,981 / sq ft"
Under Construction,1025, 44.48 L,OWNER,Maheshwaram,2,"4,340 / sq ft"
Ready to move,1440, 95 L,OWNER,Moti Nagar,2,"6,597 / sq ft"
Ready to move,850, 95 L,OWNER,Borabanda,3,"11,176 / sq ft"
Ready to move,1440, 95 L,OWNER,Borabanda,2,"6,597 / sq ft"
Ready to move,1050, 63 L,OWNER,Badangpet,2,"6,000 / sq ft"
Ready to move,4225, 3.16 Cr,OWNER,Tellapur,4,"7,500 / sq ft"
Ready to move,6500, 6 Cr,OWNER,Mokila,5,"9,230 / sq ft"
Ready to move,1000, 35 L,OWNER,Boiguda,3,"3,500 / sq ft"
Ready to move,1101, 62.5 L,OWNER,Miyapur,4,"5,676 / sq ft"
Ready to move,1535, 1.33 Cr,OWNER,Kokapet,3,"8,664 / sq ft"
Ready to move,1604, 71 L,OWNER,AS Rao Nagar,3,"4,426 / sq ft"
Ready to move,4750, 5.5 Cr,OWNER,Mokila,4,"11,578 / sq ft"
Ready to move,1000, 77.5 L,OWNER,Kukatpally,2,"7,750 / sq ft"
Under Construction,2500, 1.2 Cr,OWNER,Bhuvanagiri,5,"4,800 / sq ft"
Ready to move,1047, 67.5 L,OWNER,Rajendra Nagar,3,"6,447 / sq ft"
Resale,1800, 11.25 L,OWNER,Sadashivpet,Residential Plot,625 / sq ft
Ready to move,1000, 33 L,OWNER,Shamirpet,2,"3,300 / sq ft"
Under Construction,2008, 1.15 Cr,OWNER,Patancheru,3,"5,750 / sq ft"
Ready to move,1098, 30 L,OWNER,Nizampet,2,"2,732 / sq ft"
Ready to move,2957, 3.1 Cr,OWNER,Banjara Hills,4,"10,483 / sq ft"
Ready to move,1225, 72 L,OWNER,Madhapur,2,"5,877 / sq ft"
Under Construction,3351, 2 Cr,OWNER,Shamshabad,4,"5,968 / sq ft"
Resale,2403, 18.69 L,OWNER,Kadthal,Residential Plot,777 / sq ft
Under Construction,1195, 49 L,OWNER,Bolarum,2,"4,100 / sq ft"
Ready to move,1300, 67 L,OWNER,Rampally,2,"5,153 / sq ft"
Ready to move,1050, 60 L,OWNER,Hayathnagar,2,"5,714 / sq ft"
Resale,900, 3.5 L,OWNER,Shamshabad,Residential Plot,388 / sq ft
